coordinate,We need to coordinate our schedules to find a meeting time that works for everyone.,조정하다,우리는 모두에게 맞는 회의 시간을 찾기 위해 일정을 조정할 필요가 있다.,調整する,全員に都合の良い会議時間を見つけるためにスケジュールを調整する必要がある。,协调,我们需要协调日程以找到适合每个人的会议时间。,coordinar,Necesitamos coordinar nuestros horarios para encontrar una hora de reunión que funcione para todos.,phối hợp,Chúng ta cần phối hợp lịch trình để tìm thời gian họp phù hợp cho mọi người.,ประสานงาน,เราต้องประสานตารางเวลาเพื่อหาเวลาประชุมที่เหมาะกับทุกคน,mengoordinasikan,Kita perlu mengoordinasikan jadwal untuk menemukan waktu rapat yang cocok untuk semua.
rank,Reputable major universities now globally rank candidates based on a wide and diverse range of important academic and extracurricular factors not just simple test scores anymore.,순위를 매기다,평판이 좋은 주요 대학들은 이제 더 이상 단순한 시험 점수만이 아닌 다양한 학업 및 과외 요소들을 바탕으로 후보자들의 순위를 전 세계적으로 매긴다.,順位付けする,評判の良い主要大学は今や単純なテストの点数だけでなく、幅広く多様な学業および課外活動要素に基づいて候補者を世界的に順位付けする。,排名,知名的主要大学现在不再仅仅根据简单的考试成绩而是基于广泛而多样的学术和课外因素对候选人进行全球排名。,clasificar por puesto,Las universidades reconocidas más importantes ahora clasifican por puesto a los candidatos a nivel mundial basándose en una amplia y diversa gama de factores académicos y extracurriculares importantes y no solo en simples puntuaciones de exámenes.,xếp hạng,Các trường đại học lớn có uy tín giờ đây xếp hạng các ứng viên trên toàn cầu dựa trên một loạt các yếu tố học thuật và ngoại khóa quan trọng đa dạng chứ không chỉ đơn giản là điểm thi.,จัดอันดับ,มหาวิทยาลัยใหญ่ที่มีชื่อเสียงในตอนนี้จัดอันดับผู้สมัครทั่วโลกโดยอิงตามปัจจัยทางวิชาการและกิจกรรมเสริมที่สำคัญที่หลากหลายอย่างกว้างขวางไม่ใช่แค่คะแนนสอบธรรมดาอีกต่อไป,memeringkat,Universitas-universitas besar terkemuka kini memeringkat kandidat secara global berdasarkan beragam faktor akademik dan ekstrakurikuler penting yang luas dan tidak lagi hanya skor tes sederhana.
label,Strict food safety regulations require manufacturers to clearly label every commercial packaged product with detailed allergen warnings nutritional information and standardized ingredient lists for the protection of all consumers.,라벨을 붙이다,엄격한 식품 안전 규정은 제조업체들이 모든 소비자의 보호를 위해 모든 상업용 포장 제품에 자세한 알레르겐 경고와 영양 정보와 표준화된 성분 목록으로 명확하게 라벨을 붙이도록 요구한다.,ラベルを貼る,厳格な食品安全規制は製造業者にすべての消費者保護のためにすべての商業包装製品に詳細なアレルゲン警告と栄養情報と標準化された成分リストを明確にラベルを貼ることを要求する。,贴标签,严格的食品安全法规要求制造商在每件商业包装产品上为所有消费者的保护清楚地贴标签包括详细的过敏原警告营养信息和标准化的成分清单。,etiquetar,Las estrictas regulaciones de seguridad alimentaria exigen a los fabricantes etiquetar claramente cada producto comercial envasado con advertencias detalladas de alérgenos información nutricional y listas estandarizadas de ingredientes para protección de todos los consumidores.,dán nhãn,Quy định an toàn thực phẩm nghiêm ngặt yêu cầu các nhà sản xuất dán nhãn rõ ràng mọi sản phẩm đóng gói thương mại với cảnh báo chất gây dị ứng chi tiết thông tin dinh dưỡng và danh sách thành phần chuẩn hóa để bảo vệ tất cả người tiêu dùng.,ติดฉลาก,กฎระเบียบความปลอดภัยด้านอาหารที่เข้มงวดกำหนดให้ผู้ผลิตติดฉลากผลิตภัณฑ์บรรจุภัณฑ์เชิงพาณิชย์ทุกรายการอย่างชัดเจนพร้อมคำเตือนสารก่อภูมิแพ้โดยละเอียดข้อมูลโภชนาการและรายการส่วนผสมที่เป็นมาตรฐานเพื่อคุ้มครองผู้บริโภคทั้งหมด,memberi label,Peraturan keamanan pangan yang ketat mengharuskan produsen memberi label dengan jelas setiap produk kemasan komersial dengan peringatan alergen rinci informasi gizi dan daftar bahan yang distandardisasi untuk perlindungan semua konsumen.
tag,Modern photo apps automatically tag familiar faces in newly uploaded vacation photos so users can quickly find their favorite memories of past trips with close friends and family.,태그를 달다,현대 사진 앱들은 사용자들이 친한 친구와 가족과 함께한 과거 여행의 가장 좋아하는 추억을 빠르게 찾을 수 있도록 새로 업로드된 휴가 사진에서 익숙한 얼굴에 자동으로 태그를 단다.,タグ付けする,現代の写真アプリは新たにアップロードされた休暇写真でユーザーが親しい友人や家族との過去の旅行の好きな思い出を素早く見つけられるように見覚えのある顔に自動的にタグ付けする。,标记,现代照片应用程序在新上传的度假照片中自动标记熟悉的面孔以便用户可以快速找到与亲密朋友和家人过去旅行的最喜爱的回忆。,etiquetar con tag,Las aplicaciones modernas de fotos etiquetan con tag automáticamente las caras familiares en las fotos de vacaciones recién subidas para que los usuarios puedan encontrar rápidamente sus recuerdos favoritos de viajes pasados con amigos cercanos y familiares.,gắn thẻ,Các ứng dụng ảnh hiện đại tự động gắn thẻ những khuôn mặt quen thuộc trong các bức ảnh kỳ nghỉ mới được tải lên để người dùng có thể nhanh chóng tìm thấy những kỷ niệm yêu thích về các chuyến đi trong quá khứ với bạn bè thân thiết và gia đình.,แท็ก,แอปภาพถ่ายสมัยใหม่จะแท็กใบหน้าที่คุ้นเคยโดยอัตโนมัติในภาพถ่ายวันหยุดที่อัปโหลดใหม่เพื่อให้ผู้ใช้สามารถค้นหาความทรงจำที่ชื่นชอบจากการเดินทางในอดีตกับเพื่อนสนิทและครอบครัวได้อย่างรวดเร็ว,menandai gambar,Aplikasi foto modern secara otomatis menandai gambar wajah-wajah familiar di foto liburan yang baru diunggah sehingga pengguna dapat dengan cepat menemukan kenangan favorit mereka dari perjalanan masa lalu bersama teman dekat dan keluarga.
decode,Cybersecurity experts can quickly decode complex encrypted messages from sophisticated cyber attackers using powerful specialized analytical software combined with their deep mathematical training and decades of relevant experience.,해독하다,사이버 보안 전문가들은 강력한 전문 분석 소프트웨어를 그들의 깊은 수학적 훈련 및 수십 년의 관련 경험과 결합하여 사용하여 정교한 사이버 공격자들로부터의 복잡한 암호화된 메시지를 빠르게 해독할 수 있다.,解読する,サイバーセキュリティ専門家は強力な専門的分析ソフトウェアを彼らの深い数学的訓練と数十年の関連経験と組み合わせて使用することにより、洗練されたサイバー攻撃者からの複雑な暗号化メッセージを素早く解読することができる。,解码,网络安全专家可以使用功能强大的专业分析软件结合他们深厚的数学训练和数十年的相关经验快速解码来自复杂网络攻击者的复杂加密消息。,decodificar,Los expertos en ciberseguridad pueden decodificar rápidamente mensajes encriptados complejos de atacantes cibernéticos sofisticados usando potente software analítico especializado combinado con su profunda formación matemática y décadas de experiencia relevante.,giải mã,Các chuyên gia an ninh mạng có thể nhanh chóng giải mã các tin nhắn được mã hóa phức tạp từ những kẻ tấn công mạng tinh vi bằng cách sử dụng phần mềm phân tích chuyên biệt mạnh mẽ kết hợp với đào tạo toán học sâu và hàng chục năm kinh nghiệm liên quan.,ถอดรหัส,ผู้เชี่ยวชาญด้านความปลอดภัยทางไซเบอร์สามารถถอดรหัสข้อความเข้ารหัสที่ซับซ้อนจากผู้โจมตีทางไซเบอร์ที่ซับซ้อนได้อย่างรวดเร็วโดยใช้ซอฟต์แวร์การวิเคราะห์เฉพาะทางที่มีประสิทธิภาพร่วมกับการฝึกอบรมทางคณิตศาสตร์เชิงลึกและประสบการณ์ที่เกี่ยวข้องหลายทศวรรษ,mendekode,Pakar keamanan siber dapat dengan cepat mendekode pesan terenkripsi kompleks dari penyerang siber yang canggih menggunakan perangkat lunak analitis khusus yang kuat dikombinasikan dengan pelatihan matematika mendalam dan pengalaman relevan selama puluhan tahun.
debug,Skilled software engineers must patiently debug each individual code module thoroughly before merging any new changes into the main shared production codebase for the entire team.,디버깅하다,숙련된 소프트웨어 엔지니어들은 전체 팀을 위한 메인 공유 프로덕션 코드베이스에 새로운 변경 사항을 병합하기 전에 각 개별 코드 모듈을 인내심 있게 철저히 디버깅해야 한다.,デバッグする,熟練したソフトウェアエンジニアはチーム全体のためのメイン共有プロダクションコードベースに新しい変更をマージする前に各個別コードモジュールを根気よく徹底的にデバッグしなければならない。,调试,熟练的软件工程师必须在将任何新更改合并到整个团队的主要共享生产代码库之前耐心彻底地调试每个单独的代码模块。,depurar código,Los ingenieros de software cualificados deben depurar código pacientemente cada módulo individual a fondo antes de fusionar cualquier nuevo cambio al código base principal compartido de producción para todo el equipo.,gỡ lỗi,Các kỹ sư phần mềm lành nghề phải kiên nhẫn gỡ lỗi từng module mã riêng lẻ một cách kỹ lưỡng trước khi hợp nhất bất kỳ thay đổi mới nào vào codebase sản xuất chính được chia sẻ cho toàn đội.,แก้จุดบกพร่อง,วิศวกรซอฟต์แวร์ที่มีทักษะต้องอดทนแก้จุดบกพร่องของแต่ละโมดูลโค้ดอย่างละเอียดก่อนรวมการเปลี่ยนแปลงใหม่ใดๆ เข้ากับ codebase การผลิตที่แชร์หลักสำหรับทีมทั้งหมด,men-debug,Insinyur perangkat lunak yang terampil harus dengan sabar men-debug setiap modul kode individu secara menyeluruh sebelum menggabungkan perubahan baru apa pun ke dalam basis kode produksi bersama utama untuk seluruh tim.
refactor,Developers should periodically refactor older legacy code thoroughly to greatly improve overall maintainability and dramatically reduce future serious technical debt accumulating quietly across the entire long-term active project.,리팩터링하다,개발자들은 전체 장기 활성 프로젝트에 걸쳐 조용히 누적되는 미래의 심각한 기술 부채를 극적으로 줄이고 전반적인 유지 보수성을 크게 향상시키기 위해 오래된 레거시 코드를 주기적으로 철저히 리팩터링해야 한다.,リファクタリングする,開発者は長期的なアクティブプロジェクト全体にわたって静かに蓄積する将来の深刻な技術的負債を劇的に削減し全体的な保守性を大幅に向上させるために古いレガシーコードを定期的に徹底的にリファクタリングするべきだ。,重构,开发人员应定期彻底重构旧的遗留代码以大幅提高整体可维护性并显著减少长期活跃项目中悄然积累的未来严重技术债务。,refactorizar,Los desarrolladores deben refactorizar periódicamente código heredado antiguo a fondo para mejorar enormemente la mantenibilidad general y reducir drásticamente la futura deuda técnica grave que se acumula silenciosamente en todo el proyecto activo a largo plazo.,tái cấu trúc,Các nhà phát triển nên định kỳ tái cấu trúc mã kế thừa cũ một cách kỹ lưỡng để cải thiện đáng kể khả năng bảo trì tổng thể và giảm đáng kể nợ kỹ thuật nghiêm trọng trong tương lai tích lũy âm thầm trên toàn bộ dự án hoạt động lâu dài.,ปรับโครงสร้างโค้ด,นักพัฒนาควรปรับโครงสร้างโค้ดเก่าๆ อย่างละเอียดเป็นระยะเพื่อปรับปรุงความสามารถในการบำรุงรักษาโดยรวมอย่างมากและลดหนี้ทางเทคนิคที่ร้ายแรงในอนาคตที่สะสมอย่างเงียบๆ ทั่วทั้งโครงการที่ใช้งานในระยะยาวอย่างมาก,merefaktor,Pengembang harus secara berkala merefaktor kode lawas yang lebih tua secara menyeluruh untuk sangat meningkatkan pemeliharaan keseluruhan dan secara dramatis mengurangi utang teknis serius masa depan yang menumpuk diam-diam di seluruh proyek aktif jangka panjang.
prototype,Industrial designers will rapidly prototype several promising new product concepts using affordable lightweight three-dimensional printing technology before officially showing them to the senior executive review board next month.,프로토타입을 만들다,산업 디자이너들은 다음 달에 그것들을 고위 임원 검토 위원회에 공식적으로 보여주기 전에 저렴하고 가벼운 3차원 인쇄 기술을 사용하여 몇 가지 유망한 새 제품 컨셉을 빠르게 프로토타입을 만들 것이다.,プロトタイプを作る,工業デザイナーたちは来月それらを上級役員審査委員会に公式に見せる前に手頃で軽量な三次元印刷技術を使っていくつかの有望な新製品コンセプトを素早くプロトタイプを作る。,制作原型,工业设计师将在下个月正式向高级行政审查委员会展示之前使用价格实惠的轻量级三维打印技术快速制作几个有前途的新产品概念的原型。,prototipar,Los diseñadores industriales prototiparán rápidamente varios prometedores nuevos conceptos de producto usando tecnología de impresión tridimensional asequible y liviana antes de mostrarlos oficialmente a la junta sénior de revisión ejecutiva el próximo mes.,tạo nguyên mẫu,Các nhà thiết kế công nghiệp sẽ nhanh chóng tạo nguyên mẫu cho một số khái niệm sản phẩm mới đầy hứa hẹn bằng công nghệ in ba chiều giá phải chăng nhẹ trước khi chính thức trình bày chúng trước ban đánh giá điều hành cấp cao vào tháng tới.,สร้างต้นแบบ,นักออกแบบอุตสาหกรรมจะสร้างต้นแบบแนวคิดผลิตภัณฑ์ใหม่ที่มีแนวโน้มหลายอย่างอย่างรวดเร็วโดยใช้เทคโนโลยีการพิมพ์สามมิติที่มีราคาไม่แพงและน้ำหนักเบาก่อนนำเสนออย่างเป็นทางการต่อคณะกรรมการตรวจสอบผู้บริหารระดับสูงในเดือนหน้า,memprototipe,Desainer industri akan dengan cepat memprototipe beberapa konsep produk baru yang menjanjikan menggunakan teknologi pencetakan tiga dimensi yang terjangkau dan ringan sebelum secara resmi menunjukkannya kepada dewan tinjauan eksekutif senior bulan depan.
iterate,Agile software development teams must iterate quickly on every minor user feedback received to release significantly better and continuously improved product features each successive sprint cycle.,반복하다,애자일 소프트웨어 개발 팀들은 매 연속 스프린트 주기마다 훨씬 더 나은 그리고 지속적으로 개선된 제품 기능을 출시하기 위해 받은 모든 사소한 사용자 피드백에 대해 빠르게 반복해야 한다.,反復する,アジャイルソフトウェア開発チームは各連続するスプリントサイクルでより良く継続的に改善された製品機能をリリースするために、受け取ったあらゆる小さなユーザーフィードバックを素早く反復しなければならない。,迭代,敏捷软件开发团队必须对收到的每条小用户反馈快速迭代以便在每个连续的冲刺周期发布显著更好和持续改进的产品功能。,iterar,Los equipos de desarrollo de software ágil deben iterar rápidamente sobre cada pequeña retroalimentación de usuario recibida para lanzar características de producto significativamente mejores y continuamente mejoradas en cada ciclo de sprint sucesivo.,lặp lại,Các nhóm phát triển phần mềm linh hoạt phải lặp lại nhanh chóng trên mọi phản hồi nhỏ của người dùng nhận được để phát hành các tính năng sản phẩm tốt hơn đáng kể và liên tục cải tiến trong mỗi chu kỳ sprint liên tiếp.,วนซ้ำพัฒนา,ทีมพัฒนาซอฟต์แวร์แบบ Agile ต้องวนซ้ำพัฒนาอย่างรวดเร็วในทุกความคิดเห็นเล็กน้อยจากผู้ใช้ที่ได้รับเพื่อปล่อยฟีเจอร์ผลิตภัณฑ์ที่ดีขึ้นอย่างมีนัยสำคัญและปรับปรุงอย่างต่อเนื่องในแต่ละรอบสปรินต์ต่อเนื่อง,mengulang siklus,Tim pengembangan perangkat lunak agile harus mengulang siklus dengan cepat pada setiap umpan balik pengguna kecil yang diterima untuk merilis fitur produk yang jauh lebih baik dan terus ditingkatkan di setiap siklus sprint berturut-turut.
drill,New safety officers regularly drill all factory employees on critical emergency evacuation procedures to ensure absolutely everyone responds calmly and very efficiently during any rare unexpected fire incident.,훈련시키다,새 안전 담당관들은 드문 예기치 못한 화재 사건 중에 절대적으로 모든 사람이 침착하고 매우 효율적으로 대응할 수 있도록 모든 공장 직원들에게 중요한 비상 대피 절차를 정기적으로 훈련시킨다.,訓練する,新しい安全担当者は稀な予期せぬ火災事件中に絶対に全員が冷静かつ非常に効率的に対応できるよう、すべての工場従業員に重要な緊急避難手順を定期的に訓練する。,演练,新的安全官员定期对所有工厂员工演练关键紧急疏散程序以确保在任何罕见的意外火灾事件中绝对每个人都能冷静而非常高效地应对。,entrenar mediante simulacros,Los nuevos oficiales de seguridad entrenan mediante simulacros regularmente a todos los empleados de la fábrica en procedimientos críticos de evacuación de emergencia para garantizar que absolutamente todos respondan con calma y muy eficientemente durante cualquier raro incidente de incendio inesperado.,huấn luyện,Các nhân viên an toàn mới thường xuyên huấn luyện tất cả nhân viên nhà máy về các quy trình sơ tán khẩn cấp quan trọng để đảm bảo tuyệt đối mọi người phản ứng bình tĩnh và rất hiệu quả trong bất kỳ sự cố hỏa hoạn bất ngờ hiếm hoi nào.,ฝึกซ้อม,เจ้าหน้าที่ความปลอดภัยใหม่ฝึกซ้อมพนักงานโรงงานทั้งหมดเป็นประจำเกี่ยวกับขั้นตอนการอพยพฉุกเฉินที่สำคัญเพื่อให้แน่ใจว่าทุกคนตอบสนองอย่างสงบและมีประสิทธิภาพมากในระหว่างเหตุการณ์ไฟไหม้ที่ไม่คาดคิดที่หายาก,melatih dengan latihan,Petugas keselamatan baru secara teratur melatih dengan latihan semua karyawan pabrik tentang prosedur evakuasi darurat kritis untuk memastikan benar-benar semua orang merespons dengan tenang dan sangat efisien selama insiden kebakaran tak terduga yang langka.
strategize,The startup founders met privately every Friday afternoon to strategize about long-term effective growth plans and detailed methods to attract substantial new outside investment in the increasingly competitive market.,전략을 세우다,그 스타트업 창립자들은 점점 더 경쟁이 치열해지는 시장에서 상당한 새로운 외부 투자를 유치하기 위한 장기적이고 효과적인 성장 계획과 상세한 방법에 대해 전략을 세우기 위해 매주 금요일 오후에 사적으로 만났다.,戦略を練る,そのスタートアップの創設者たちはますます競争が激しくなる市場で相当な新規外部投資を呼び込むための長期的で効果的な成長計画と詳細な方法について戦略を練るために毎週金曜日の午後にプライベートに会った。,谋划战略,这家初创公司的创始人每周五下午私下会面以便就长期有效的增长计划和吸引可观新外部投资的详细方法在日益激烈的竞争市场中谋划战略。,planificar estratégicamente,Los fundadores de la startup se reunían en privado todos los viernes por la tarde para planificar estratégicamente sobre planes efectivos de crecimiento a largo plazo y métodos detallados para atraer una sustancial nueva inversión externa en el mercado cada vez más competitivo.,hoạch định chiến lược,Các nhà sáng lập startup gặp riêng vào chiều thứ Sáu hàng tuần để hoạch định chiến lược về các kế hoạch tăng trưởng hiệu quả dài hạn và các phương pháp chi tiết để thu hút khoản đầu tư bên ngoài mới đáng kể trong thị trường ngày càng cạnh tranh.,วางแผนกลยุทธ์,ผู้ก่อตั้งสตาร์ทอัพพบกันเป็นการส่วนตัวทุกบ่ายวันศุกร์เพื่อวางแผนกลยุทธ์เกี่ยวกับแผนการเติบโตที่มีประสิทธิภาพในระยะยาวและวิธีการโดยละเอียดในการดึงดูดการลงทุนภายนอกใหม่จำนวนมากในตลาดที่มีการแข่งขันสูงขึ้น,menyusun strategi,Para pendiri startup bertemu secara pribadi setiap Jumat sore untuk menyusun strategi tentang rencana pertumbuhan jangka panjang yang efektif dan metode terperinci untuk menarik investasi baru luar yang substansial di pasar yang semakin kompetitif.
unveil,The eagerly anticipated technology company will officially unveil their innovative new flagship smartphone model at the major annual industry showcase event held in San Francisco this autumn.,공개하다,그 간절히 기대되는 기술 회사는 올 가을 샌프란시스코에서 열리는 주요 연례 산업 쇼케이스 이벤트에서 그들의 혁신적인 새 플래그십 스마트폰 모델을 공식적으로 공개할 것이다.,発表する,その切望されたテクノロジー企業はこの秋サンフランシスコで開催される主要な年次産業ショーケースイベントで彼らの革新的な新しいフラッグシップスマートフォンモデルを公式に発表する。,揭幕,这家备受期待的科技公司将在今年秋天在旧金山举办的主要年度行业展示活动中正式揭幕他们创新的新旗舰智能手机型号。,desvelar,La esperada empresa tecnológica desvelará oficialmente su innovador nuevo modelo insignia de teléfono inteligente en el principal evento anual de exhibición de la industria celebrado en San Francisco este otoño.,ra mắt,Công ty công nghệ được mong đợi sẽ chính thức ra mắt mẫu điện thoại thông minh hàng đầu mới sáng tạo của họ tại sự kiện trưng bày ngành công nghiệp lớn hàng năm tổ chức tại San Francisco mùa thu này.,เปิดตัว,บริษัทเทคโนโลยีที่ทุกคนตั้งตารอจะเปิดตัวอย่างเป็นทางการสมาร์ทโฟนรุ่นเรือธงรุ่นใหม่ที่เป็นนวัตกรรมในงานแสดงอุตสาหกรรมประจำปีหลักที่จัดขึ้นในซานฟรานซิสโกในฤดูใบไม้ร่วงนี้,meluncurkan,Perusahaan teknologi yang sangat dinantikan akan secara resmi meluncurkan model smartphone unggulan baru inovatif mereka di acara pameran industri tahunan besar yang diadakan di San Francisco musim gugur ini.
conceal,The cunning suspect tried very hard to conceal critical incriminating evidence from the alert investigators by hiding several confidential digital files deep inside an encrypted external storage drive.,숨기다,그 교활한 용의자는 암호화된 외장 저장 드라이브 안 깊숙이 여러 기밀 디지털 파일을 숨김으로써 경계하는 수사관들로부터 중요한 유죄 증거를 숨기려고 매우 노력했다.,隠す,その狡猾な容疑者は暗号化された外付けストレージドライブの奥深くにいくつかの機密デジタルファイルを隠すことで警戒する捜査官から重要な有罪証拠を隠そうと非常に努力した。,隐藏,这位狡猾的嫌疑人通过将几个机密的数字文件深藏在加密的外部存储驱动器内部努力地试图对警觉的调查人员隐藏关键的有罪证据。,ocultar,El astuto sospechoso intentó arduamente ocultar pruebas incriminatorias críticas a los atentos investigadores escondiendo varios archivos digitales confidenciales en lo profundo de un disco de almacenamiento externo encriptado.,giấu giếm,Kẻ tình nghi xảo quyệt đã cố gắng rất nhiều để giấu giếm bằng chứng buộc tội quan trọng khỏi các điều tra viên cảnh giác bằng cách giấu nhiều tệp kỹ thuật số bí mật sâu bên trong ổ lưu trữ ngoài được mã hóa.,ปกปิด,ผู้ต้องสงสัยที่เจ้าเล่ห์พยายามอย่างหนักที่จะปกปิดหลักฐานสำคัญที่กล่าวโทษจากผู้ตรวจสอบที่ระมัดระวังโดยซ่อนไฟล์ดิจิทัลลับหลายไฟล์ลึกภายในไดรฟ์เก็บข้อมูลภายนอกที่เข้ารหัส,menyembunyikan,Tersangka licik berusaha sangat keras menyembunyikan bukti memberatkan penting dari penyelidik yang waspada dengan menyembunyikan beberapa file digital rahasia jauh di dalam drive penyimpanan eksternal terenkripsi.
arbitrate,A neutral third party labor expert was specifically chosen to fairly arbitrate the long bitter union dispute between angry striking workers and the increasingly worried plant management team.,중재하다,중립적인 제3자 노동 전문가가 화난 파업 노동자들과 점점 더 걱정하는 공장 경영진 사이의 길고 격렬한 노조 분쟁을 공정하게 중재하기 위해 특별히 선택되었다.,仲裁する,中立的な第三者労働専門家が怒っているストライキ労働者とますます心配する工場経営陣の間の長く激しい労組紛争を公正に仲裁するために特別に選ばれた。,仲裁,一位中立的第三方劳工专家被特别选定来公正地仲裁愤怒的罢工工人和越来越担忧的工厂管理团队之间持久而激烈的工会争端。,arbitrar,Un experto laboral neutral de tercera parte fue específicamente elegido para arbitrar justamente la prolongada y amarga disputa sindical entre los trabajadores en huelga enojados y el equipo de gestión de la planta cada vez más preocupado.,trọng tài,Một chuyên gia lao động trung lập bên thứ ba được chọn cụ thể để trọng tài công bằng cuộc tranh chấp công đoàn dài và đắng cay giữa những công nhân đình công tức giận và đội ngũ quản lý nhà máy ngày càng lo lắng.,ตัดสินไกล่เกลี่ย,ผู้เชี่ยวชาญด้านแรงงานบุคคลที่สามที่เป็นกลางได้รับเลือกเป็นพิเศษให้ตัดสินไกล่เกลี่ยข้อพิพาทสหภาพแรงงานที่ยาวนานและขมขื่นระหว่างคนงานที่นัดหยุดงานที่โกรธและทีมผู้บริหารโรงงานที่กังวลมากขึ้นเรื่อยๆ อย่างยุติธรรม,menengahi,Ahli tenaga kerja netral pihak ketiga secara khusus dipilih untuk menengahi dengan adil perselisihan serikat pekerja yang panjang dan pahit antara pekerja yang mogok marah dan tim manajemen pabrik yang semakin khawatir.
moderate,The senior community manager will personally moderate the busy live online discussion forum tonight to ensure all the active members consistently follow the strict community guidelines about respectful conversations.,진행하다,그 선임 커뮤니티 매니저는 모든 활동 회원들이 정중한 대화에 대한 엄격한 커뮤니티 지침을 일관되게 따르도록 보장하기 위해 오늘 밤 바쁜 실시간 온라인 토론 포럼을 직접 진행할 것이다.,司会する,そのシニアコミュニティマネージャーはすべてのアクティブメンバーが敬意ある会話に関する厳格なコミュニティガイドラインを一貫して守ることを確実にするため、今夜の忙しいライブオンライン討論フォーラムを直接司会する。,主持,这位资深社区经理今晚将亲自主持繁忙的实时在线讨论论坛以确保所有活跃成员始终如一地遵守关于尊重对话的严格社区指导方针。,moderar,La gerente comunitaria sénior personalmente moderará esta noche el ocupado foro de discusión en línea en vivo para asegurar que todos los miembros activos sigan consistentemente las estrictas pautas comunitarias sobre conversaciones respetuosas.,điều phối,Quản lý cộng đồng cấp cao sẽ đích thân điều phối diễn đàn thảo luận trực tuyến trực tiếp bận rộn tối nay để đảm bảo tất cả các thành viên hoạt động tuân thủ nhất quán các nguyên tắc cộng đồng nghiêm ngặt về các cuộc trò chuyện tôn trọng.,กลั่นกรอง,ผู้จัดการชุมชนอาวุโสจะกลั่นกรองฟอรัมสนทนาออนไลน์สดที่ยุ่งคืนนี้เป็นการส่วนตัวเพื่อให้แน่ใจว่าสมาชิกที่ใช้งานอยู่ทุกคนปฏิบัติตามแนวทางชุมชนที่เข้มงวดเกี่ยวกับการสนทนาด้วยความเคารพอย่างสม่ำเสมอ,memoderasi,Manajer komunitas senior akan secara pribadi memoderasi forum diskusi online langsung yang sibuk malam ini untuk memastikan semua anggota aktif secara konsisten mengikuti pedoman komunitas yang ketat tentang percakapan yang penuh hormat.
volunteer,Many caring local residents proudly volunteer their valuable personal time at the central community kitchen every single weekend to assist with feeding hundreds of struggling homeless people in the city.,자원봉사하다,많은 배려심 있는 지역 주민들은 도시의 어려움을 겪는 수백 명의 노숙자들에게 음식을 제공하는 것을 돕기 위해 매주 주말마다 중앙 커뮤니티 키친에서 그들의 소중한 개인 시간을 자랑스럽게 자원봉사한다.,ボランティアする,多くの思いやりのある地元住民は街の困窮する何百人ものホームレスの人々に食事を提供する手助けをするために毎週末セントラルコミュニティキッチンで彼らの貴重な個人時間を誇らしげにボランティアする。,做志愿者,许多富有同情心的当地居民每个周末都自豪地在中央社区厨房做志愿者贡献宝贵的个人时间来帮助为城市中数百名挣扎的无家可归者提供食物。,ofrecerse voluntariamente,Muchos atentos residentes locales se ofrecen voluntariamente con orgullo dedicando su valioso tiempo personal en la cocina comunitaria central cada fin de semana para ayudar a alimentar a cientos de personas sin hogar en dificultades de la ciudad.,tình nguyện,Nhiều cư dân địa phương quan tâm tự hào tình nguyện thời gian cá nhân quý báu của họ tại bếp ăn cộng đồng trung tâm vào mỗi cuối tuần để hỗ trợ phục vụ bữa ăn cho hàng trăm người vô gia cư đang gặp khó khăn trong thành phố.,เป็นอาสาสมัคร,ผู้อยู่อาศัยในท้องถิ่นที่ใส่ใจหลายคนภูมิใจที่จะเป็นอาสาสมัครเวลาส่วนตัวอันมีค่าของพวกเขาที่โรงครัวชุมชนกลางทุกสุดสัปดาห์เพื่อช่วยเลี้ยงอาหารแก่คนเร่ร่อนที่ดิ้นรนหลายร้อยคนในเมือง,menjadi sukarelawan,Banyak penduduk lokal yang peduli dengan bangga menjadi sukarelawan waktu pribadi mereka yang berharga di dapur komunitas pusat setiap akhir pekan untuk membantu memberi makan ratusan tunawisma yang berjuang di kota.
