brinkmanship,"The leader's brinkmanship brought the two nations dangerously close to armed conflict.",벼랑 끝 전술,"지도자의 벼랑 끝 전술은 두 나라를 무력 충돌의 위험한 경계로 몰고 갔다.",瀬戸際政策,"指導者の瀬戸際政策は両国を武力衝突の危険な境界に追い込んだ。",边缘政策,"领导人的边缘政策使两国危险地接近武装冲突。",política de riesgo calculado,"La política de riesgo calculado del líder llevó a las dos naciones peligrosamente cerca de un conflicto armado.",chính sách bên miệng hố chiến tranh,"Chính sách bên miệng hố chiến tranh của nhà lãnh đạo đã đưa hai quốc gia đến gần xung đột vũ trang một cách nguy hiểm.",นโยบายเสี่ยงขั้นสุด,"นโยบายเสี่ยงขั้นสุดของผู้นำทำให้ทั้งสองประเทศเข้าใกล้ความขัดแย้งทางอาวุธอย่างอันตราย",politik brinksmanship,"Politik brinksmanship pemimpin tersebut membawa kedua negara sangat dekat ke konflik bersenjata."
ecological footprint,"The ecological footprint metric quantifies human demand on the planet's biological resources and ecosystems.",생태발자국,"생태발자국 지표는 지구의 생물학적 자원과 생태계에 대한 인간의 수요를 정량화한다.",エコロジカルフットプリント,エコロジカルフットプリント指標は地球の生物学的資源と生態系に対する人間の需要を定量化する。,生态足迹,生态足迹指标量化了人类对地球生物资源和生态系统的需求。,huella ecológica,La métrica de huella ecológica cuantifica la demanda humana sobre los recursos biológicos y ecosistemas del planeta.,dấu chân sinh thái,Chỉ số dấu chân sinh thái định lượng nhu cầu của con người đối với các nguồn tài nguyên sinh học và hệ sinh thái của hành tinh.,รอยเท้านิเวศ,ตัวชี้วัดรอยเท้านิเวศวัดความต้องการของมนุษย์ที่มีต่อทรัพยากรทางชีวภาพและระบบนิเวศของโลก,jejak ekologis,Metrik jejak ekologis mengukur permintaan manusia terhadap sumber daya biologis dan ekosistem planet.
polluter pays principle,"The polluter pays principle assigns financial responsibility for environmental damage to those who cause it.",오염자 부담 원칙,"오염자 부담 원칙은 환경 피해에 대한 재정적 책임을 유발자에게 부과한다.",汚染者負担の原則,汚染者負担の原則は環境被害に対する財政的責任をその原因者に課す。,污染者付费原则,污染者付费原则将环境损害的经济责任分配给造成污染者。,principio de quien contamina paga,El principio de quien contamina paga asigna la responsabilidad financiera por el daño ambiental a quienes lo causan.,nguyên tắc người gây ô nhiễm phải trả,Nguyên tắc người gây ô nhiễm phải trả gán trách nhiệm tài chính về thiệt hại môi trường cho những người gây ra nó.,หลักผู้ก่อมลพิษเป็นผู้จ่าย,หลักผู้ก่อมลพิษเป็นผู้จ่ายกำหนดความรับผิดชอบทางการเงินสำหรับความเสียหายต่อสิ่งแวดล้อมแก่ผู้ที่ก่อให้เกิด,prinsip pencemar membayar,Prinsip pencemar membayar membebankan tanggung jawab finansial atas kerusakan lingkungan kepada mereka yang menyebabkannya.
mitigation,"Climate change mitigation strategies aim to reduce the concentration of greenhouse gases in the atmosphere.",완화,"기후변화 완화 전략은 대기 중 온실가스 농도를 줄이는 것을 목표로 한다.",緩和,気候変動緩和戦略は大気中の温室効果ガスの濃度を削減することを目指す。,缓解,气候变化缓解策略旨在降低大气中温室气体的浓度。,mitigación,Las estrategias de mitigación del cambio climático buscan reducir la concentración de gases de efecto invernadero en la atmósfera.,giảm nhẹ,Các chiến lược giảm nhẹ biến đổi khí hậu nhằm giảm nồng độ khí nhà kính trong khí quyển.,การบรรเทา,กลยุทธ์การบรรเทาการเปลี่ยนแปลงสภาพภูมิอากาศมุ่งลดความเข้มข้นของก๊าซเรือนกระจกในชั้นบรรยากาศ,mitigasi,Strategi mitigasi perubahan iklim bertujuan mengurangi konsentrasi gas rumah kaca di atmosfer.
environmental impact assessment,"An environmental impact assessment must be completed before any large-scale infrastructure project receives approval.",환경영향평가,"대규모 인프라 프로젝트가 승인을 받기 전에 환경영향평가가 완료되어야 한다.",環境影響評価,大規模なインフラプロジェクトが承認を受ける前に環境影響評価を完了しなければならない。,环境影响评估,任何大型基础设施项目在获得批准之前必须完成环境影响评估。,evaluación de impacto ambiental,Una evaluación de impacto ambiental debe completarse antes de que cualquier proyecto de infraestructura a gran escala reciba aprobación.,đánh giá tác động môi trường,Đánh giá tác động môi trường phải được hoàn thành trước khi bất kỳ dự án cơ sở hạ tầng quy mô lớn nào được phê duyệt.,การประเมินผลกระทบสิ่งแวดล้อม,การประเมินผลกระทบสิ่งแวดล้อมต้องเสร็จสมบูรณ์ก่อนที่โครงการโครงสร้างพื้นฐานขนาดใหญ่จะได้รับการอนุมัติ,analisis dampak lingkungan,Analisis dampak lingkungan harus diselesaikan sebelum proyek infrastruktur berskala besar mana pun mendapat persetujuan.
cap-and-trade,"Cap-and-trade systems set an overall emissions limit while allowing companies to buy and sell pollution permits.",총량제한 배출권 거래,"총량제한 배출권 거래 시스템은 전체 배출 한도를 설정하면서 기업이 오염 허가를 사고팔 수 있게 한다.",キャップアンドトレード,キャップアンドトレード制度は全体的な排出制限を設定しつつ企業が汚染許可証を売買できるようにする。,总量控制与交易,总量控制与交易系统设定总体排放上限同时允许企业买卖排污许可证。,tope y comercio,Los sistemas de tope y comercio establecen un límite general de emisiones mientras permiten a las empresas comprar y vender permisos de contaminación.,giới hạn và giao dịch,Hệ thống giới hạn và giao dịch đặt ra giới hạn phát thải tổng thể đồng thời cho phép các công ty mua bán giấy phép ô nhiễm.,ระบบจำกัดและค้าขาย,ระบบจำกัดและค้าขายกำหนดขีดจำกัดการปล่อยก๊าซโดยรวมในขณะที่อนุญาตให้บริษัทซื้อขายใบอนุญาตมลพิษ,cap-and-trade,Sistem cap-and-trade menetapkan batas emisi keseluruhan sambil memungkinkan perusahaan untuk membeli dan menjual izin polusi.
renewable energy mandate,"Renewable energy mandates require utilities to generate a specified percentage of electricity from clean sources.",재생에너지 의무,"재생에너지 의무는 전력회사가 청정 에너지원에서 지정된 비율의 전기를 생산하도록 요구한다.",再生可能エネルギー義務,再生可能エネルギー義務は電力会社にクリーンエネルギー源から一定割合の電力を発電することを義務付ける。,可再生能源强制令,可再生能源强制令要求公用事业公司从清洁能源中生产规定比例的电力。,mandato de energía renovable,Los mandatos de energía renovable requieren que las empresas de servicios públicos generen un porcentaje específico de electricidad de fuentes limpias.,quy định năng lượng tái tạo,Các quy định năng lượng tái tạo yêu cầu các công ty điện lực sản xuất một tỷ lệ điện nhất định từ các nguồn sạch.,คำสั่งพลังงานหมุนเวียน,คำสั่งพลังงานหมุนเวียนกำหนดให้สาธารณูปโภคผลิตไฟฟ้าจากแหล่งพลังงานสะอาดตามสัดส่วนที่กำหนด,mandat energi terbarukan,Mandat energi terbarukan mengharuskan perusahaan utilitas menghasilkan persentase listrik tertentu dari sumber energi bersih.
transboundary pollution,"Transboundary pollution requires international cooperation because contaminants do not respect political borders.",국경을 넘는 오염,"국경을 넘는 오염은 오염물질이 정치적 국경을 존중하지 않기 때문에 국제 협력을 필요로 한다.",越境汚染,越境汚染は汚染物質が政治的国境を尊重しないため国際協力を必要とする。,跨境污染,跨境污染需要国际合作因为污染物不受政治边界的约束。,contaminación transfronteriza,La contaminación transfronteriza requiere cooperación internacional porque los contaminantes no respetan las fronteras políticas.,ô nhiễm xuyên biên giới,Ô nhiễm xuyên biên giới đòi hỏi sự hợp tác quốc tế vì các chất ô nhiễm không tôn trọng ranh giới chính trị.,มลพิษข้ามพรมแดน,มลพิษข้ามพรมแดนต้องการความร่วมมือระหว่างประเทศเพราะสารปนเปื้อนไม่เคารพเขตแดนทางการเมือง,polusi lintas batas,Polusi lintas batas memerlukan kerja sama internasional karena kontaminan tidak mengenal batas politik.
stakeholder engagement,"Effective stakeholder engagement ensures that diverse community voices inform environmental policy decisions.",이해관계자 참여,"효과적인 이해관계자 참여는 다양한 지역사회의 목소리가 환경 정책 결정에 반영되도록 보장한다.",ステークホルダーエンゲージメント,効果的なステークホルダーエンゲージメントは多様なコミュニティの声が環境政策の決定に反映されることを保証する。,利益相关者参与,有效的利益相关者参与确保多元化的社区声音为环境政策决策提供信息。,participación de partes interesadas,La participación efectiva de las partes interesadas asegura que las diversas voces de la comunidad informen las decisiones de política ambiental.,sự tham gia của các bên liên quan,Sự tham gia hiệu quả của các bên liên quan đảm bảo rằng các tiếng nói đa dạng của cộng đồng được phản ánh trong các quyết định chính sách môi trường.,การมีส่วนร่วมของผู้มีส่วนได้ส่วนเสีย,การมีส่วนร่วมของผู้มีส่วนได้ส่วนเสียที่มีประสิทธิภาพรับประกันว่าเสียงของชุมชนที่หลากหลายจะถูกนำมาประกอบการตัดสินใจนโยบายสิ่งแวดล้อม,keterlibatan pemangku kepentingan,Keterlibatan pemangku kepentingan yang efektif memastikan suara komunitas yang beragam menginformasikan keputusan kebijakan lingkungan.
green taxonomy,"The European green taxonomy classifies economic activities based on their contribution to environmental sustainability.",녹색 분류체계,"유럽 녹색 분류체계는 환경 지속가능성에 대한 기여도를 기준으로 경제 활동을 분류한다.",グリーンタクソノミー,欧州のグリーンタクソノミーは環境の持続可能性への貢献度に基づいて経済活動を分類する。,绿色分类法,欧洲绿色分类法根据经济活动对环境可持续性的贡献进行分类。,taxonomía verde,La taxonomía verde europea clasifica las actividades económicas según su contribución a la sostenibilidad ambiental.,phân loại xanh,Phân loại xanh của châu Âu phân loại các hoạt động kinh tế dựa trên đóng góp của chúng cho tính bền vững môi trường.,อนุกรมวิธานสีเขียว,อนุกรมวิธานสีเขียวของยุโรปจัดหมวดหมู่กิจกรรมทางเศรษฐกิจตามการมีส่วนร่วมต่อความยั่งยืนด้านสิ่งแวดล้อม,taksonomi hijau,Taksonomi hijau Eropa mengklasifikasikan kegiatan ekonomi berdasarkan kontribusinya terhadap keberlanjutan lingkungan.
climate adaptation,"Climate adaptation planning helps vulnerable coastal communities prepare for rising sea levels and intensifying storms.",기후 적응,"기후 적응 계획은 취약한 해안 지역사회가 해수면 상승과 강화되는 폭풍에 대비하도록 돕는다.",気候適応,気候適応計画は脆弱な沿岸コミュニティが海面上昇と激化する暴風雨に備えるのを助ける。,气候适应,气候适应规划帮助脆弱的沿海社区为海平面上升和风暴加剧做好准备。,adaptación climática,La planificación de adaptación climática ayuda a las comunidades costeras vulnerables a prepararse para el aumento del nivel del mar y las tormentas cada vez más intensas.,thích ứng khí hậu,Kế hoạch thích ứng khí hậu giúp các cộng đồng ven biển dễ bị tổn thương chuẩn bị cho mực nước biển dâng và bão ngày càng mạnh.,การปรับตัวต่อสภาพอากาศ,การวางแผนปรับตัวต่อสภาพอากาศช่วยชุมชนชายฝั่งที่เปราะบางเตรียมพร้อมรับมือกับระดับน้ำทะเลที่สูงขึ้นและพายุที่รุนแรงขึ้น,adaptasi iklim,Perencanaan adaptasi iklim membantu komunitas pesisir yang rentan mempersiapkan diri menghadapi kenaikan permukaan laut dan badai yang semakin intensif.
phoneme,"A phoneme is the smallest unit of sound that can distinguish meaning between words in a given language.",음소,"음소는 주어진 언어에서 단어 간의 의미를 구별할 수 있는 가장 작은 소리 단위이다.",音素,音素は特定の言語において単語間の意味を区別できる最小の音の単位である。,音位,音位是给定语言中能够区分词义的最小语音单位。,fonema,Un fonema es la unidad de sonido más pequeña que puede distinguir el significado entre palabras en una lengua dada.,âm vị,Âm vị là đơn vị âm thanh nhỏ nhất có thể phân biệt nghĩa giữa các từ trong một ngôn ngữ nhất định.,หน่วยเสียง,หน่วยเสียงคือหน่วยเสียงที่เล็กที่สุดที่สามารถแยกความหมายระหว่างคำในภาษาหนึ่งได้,fonem,Fonem adalah unit bunyi terkecil yang dapat membedakan makna antar kata dalam bahasa tertentu.
morphosyntax,"Morphosyntax examines how word structure and sentence structure interact to produce grammatical meaning.",형태통사론,"형태통사론은 단어 구조와 문장 구조가 어떻게 상호작용하여 문법적 의미를 생성하는지를 검토한다.",形態統語論,形態統語論は語構造と文構造がどのように相互作用して文法的意味を生み出すかを検討する。,形态句法学,形态句法学研究词结构和句子结构如何相互作用以产生语法意义。,morfosintaxis,La morfosintaxis examina cómo la estructura de las palabras y la estructura de las oraciones interactúan para producir significado gramatical.,hình thái cú pháp,Hình thái cú pháp nghiên cứu cách cấu trúc từ và cấu trúc câu tương tác để tạo ra nghĩa ngữ pháp.,สัณฐานวิทยาวากยสัมพันธ์,สัณฐานวิทยาวากยสัมพันธ์ตรวจสอบว่าโครงสร้างคำและโครงสร้างประโยคมีปฏิสัมพันธ์กันอย่างไรเพื่อสร้างความหมายทางไวยากรณ์,morfosintaksis,Morfosintaksis mengkaji bagaimana struktur kata dan struktur kalimat berinteraksi untuk menghasilkan makna gramatikal.
